Bezirk Steglitz-Zehlendorf: Energieverbrauchsübersicht bezirklicher Liegenschaften 2017-2018-2019;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
lfd. Nr.;Liegenschaft;Adresse;PLZ;Art der Wärme-versorgung;Wärme-verbrauch witterungs-bereinigt [kWh];;;Strom-verbrauch [kWh];;;Bemerkungen;;;;;
41;Johannes-Tews-Grundschule;Wasgenst.50 //  Tewsstr.23/16a  // V-Luck-Str. 24;14129;Gas;339.124;314.775;296.641;261.375;250.662;239.247;"anteilige Wärmeversorgung und Stromversorgung aus Nr. 57; versorgt mit Strom Nr. 57; 171";;;;;
42;Erich-Kästner-Grundschule;Bachstelzenweg 2-8;14195;Gas;1.034.036;1.125.973;817.872;119.212;99.370;89.738;;;;;;
43;Conrad-Grundschule;Schulstr. 4;14109;Gas;1.042.616;1.040.935;1.025.887;273.491;273.660;294.646;"versorgt mit Strom: Nr. 67; 71; 100; 101; 141 sowie Kita Alsenstraße (LEB ""Süd-West"")";;;;;
44;Mühlenau-Grundschule;Molsheimer Str. 7;14195;Fernwärme;686.496;701.756;684.217;111.789;95.756;99.217;;;;;;
45;Zinnowald-Grundschule;Wilskistr.78-80;14163;Gas;1.022.544;1.007.577;1.022.749;883.599;915.099;908.542;"versorgt mit Strom: Nr. 51; 59; 102; 105; 173; 174 sowie Kita Wilskistraße 75 (LEB ""Süd-West"")";;;;;
46;Schweizerhof-Grundschule;Leo-Baeck-Str. 28-30;14167;Gas;39.859;33.486;18.991;00;00;00;"anteilige Wärmeversorgung aus Nr. 72; Stromversorgung aus Nr. 61";;;;;
47;Dreilinden-Oberschule;Dreilindenstr. 47-49;14109;Gas;1.357.418;1.296.866;1.239.865;253.043;234.094;215.817;versorgt mit Wärme und Strom Nr. 48;;;;;
48;Dreilinden-Grundschule;Dreilindenstr. 65;14109;Gas;;;;00;00;00;Wärme- und Stromversorgung aus Nr. 47;;;;;
49;Grundschule am Buschgraben;Ludwigsfelder Str. 43-47;14165;Gas;441.595;434.886;398.640;68.560;68.739;69.643;;;;;;
50;Nikolaus-August-Otto-Oberschule - Filiale;Am Rohrgarten 7, 9;14109;Gas;596.504;379.389;498.464;125.872;113.731;114.974;versorgt mit Strom Kita Am Rohrgarten (Freier Träger);;;;;
51;Leistikow-Turnhalle;Hartmannsweilerweg 65;14163;Gas;215.268;221.846;224.852;00;00;00;Stromversorgung aus Nr. 45;;;;;
52;Schadow-Oberschule - ehem. Realschule;Beuckestr. 25;14163;Gas;965.344;584.994;1.764.212;00;00;00;versorgt mit Wärme Nr. 54;;;;;
53;Gail S. Halvorsen Oberschule;Im Gehege 6-8;14195;Gas;854.106;897.010;818.770;69.250;66.750;76.350;;;;;;
54;Schadow-Oberschule - ehem. Gymnasium;Beuckestr. 27-29;14163;Gas;38.219;43.849;47.284;311.972;305.487;307.376;"versorgt mit Strom Nr. 52; 129; Wärmeversorgung aus Nr. 52";;;;;
55;Droste-Hülshoff-Oberschule;Schönower Str. 8;14165;Gas;1.188.709;1.124.127;1.062.487;165.079;159.517;157.824;;;;;;
56;Arndt-Oberschule;Königin-Luise-Str. 80-84/85;14195;Gas;1.159.840;1.122.771;1.143.823;219.072;191.732;172.359;;;;;;
57;Werner-von-Siemens-Oberschule;"Beskidenstr. 1; 1-5; 7";14129;Gas;1.948.065;1.499.389;1.441.982;517;511;564;anteilige Stromversorgung aus Nr. 41;;;;;
58;Wilma-Rudolf-Gesamtschule;Am Hegewinkel 2a;14167;Fernwärme;1.276.535;1.294.974;1.295.736;291.867;323.172;323.259;;;;;;
59;Pestalozzi-Sonderschule;Hartmannsweilerweg 47;14163;Gas;421.424;397.765;378.888;00;00;00;Stromversorgung aus Nr. 45;;;;;
