Bezirk Steglitz-Zehlendorf: Energieverbrauchsübersicht bezirklicher Liegenschaften 2017-2018-2019;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
lfd. Nr.;Liegenschaft;Adresse;PLZ;Art der Wärme-versorgung;Wärme-verbrauch witterungs-bereinigt [kWh];;;Strom-verbrauch [kWh];;;Bemerkungen;;;;;
166;PUK Finkenstr. 13 - Finkenpark;Finkenstr. 13 (ggü)- Heinr.- Stahl- Weg;14195;Nachtspeicher-heizung;14.396;16.753;9.478;5.577;2.889;1.776;;;;;;
167;PUK Hohentwielsteig - ehem. Baumschule;Hohentwielsteig / Potsd. Ch. 101;14163;Elektroheizung;;;;;;;ausser Betrieb;;;;;
168;PUK Königstr. 35 - Glienicker Park;Königstr. 35 e, d, b, c;14109;Gas;42.985;52.378;50.667;21.542;10.514;4.556;;;;;;
169;PUK Königstr. 42 - Gymnastikhalle Wannsee;Königstr. 42a;14109;Gas;154;165;123;6.009;5.917;6.017;;;;;;
170;PUK Leichhardtstraße - Dreipfuhlpark;Leichhardtstr. 45 (Dreipfuhlpark);14195;Öl;34.067;39.415;37.152;1.522;1.549;1.479;;;;;;
171;PUK Krottnauer Straße;Krottnauer Str. 77;14129;Elektroheizung;;;;;;;Stromversorgung aus Nr. 41;;;;;
172;PUK Nibelungenstraße 50;Nibelungenstr. 50 / Dreilindenstr. 81 Y;14109;Gas;49.179;27.731;26.521;11.545;9.301;11.266;;;;;;
173;PUK Onkel-Tom-Str. 40 & 63 - Fischtalpark;Onkel-Tom-Str. 40 und 63;14169;Gas;35.188;44.236;40.800;;;;Stromversorgung aus Nr. 45;;;;;
174;PUK Onkel-Tom-Str. 165 - 167 Y - Rodelbahn;Onkel-Tom-Str. 165;14169;Elektroheizung;;;;;;;Stromversorgung aus Nr. 45;;;;;
175;PUK Rondellstraße - Gemeindewäldchen;Gemeindewäldchen / Potsdamerstraße;14163;Nachtspeicher-heizung;;;;367;360;385;ausser Betrieb / Frostfreihaltung;;;;;
176;PUK Rötheweg 4 - Elvirasteig;Rötheweg 4;14129;Nachtspeicher-heizung;13.815;16.638;11.768;1.109;483;1.055;;;;;;
177;PUK Sachtlebenstraße 55;Sachtlebenstr. 55;14165;Nachtspeicher-heizung;15.624;16.310;23.891;3.971;3.909;6.452;;;;;;
178;PUK Sundgauer Str. 133;Sundgauer Str. 133;14167;Fernwärme;24.778;24.792;27.472;11.752;12.306;11.922;;;;;;
179;PUK Thielallee 57 - Thielpark;Thielallee 57;14169;Gas;40.702;42.139;42.745;1.328;1.481;1.323;;;;;;
180;PUK Niklasstraße 2 c - Lagerplatz;Niklasstr. 2c;14163;Gas;;;;20.105;16.586;21.029;;;;;;
181;Freilandlabor - Zehlendorf - Sachtlebenstraße 32;Sachtlebenstraße 32;14165;Gas;81.872;49.103;52.665;316;2.091;640;;;;;;
182;Friedhof Dahlem - Königin-Luise-Straße 57;Königin-Luise-Str. 57;14195;Nachtspeicher-heizung;14.876;12.370;10.345;590;266;756;;;;;;
183;Friedhof Wannsee - Friedensstraße 8 / 10;Friedenstr. 8/10;14109;Gas;37.457;27.558;11.558;8.034;6.306;787;;;;;;
184;Friedhof Zehlendorf - Onkel-Tom-Straße 26 / 30;Onkel-Tom-Str. 26 / 30;14165;Gas;58.437;53.781;46.484;278.171;279.924;275.263;"versorgt mit Strom: Nr. 39; 123; 133";;;;;
185;Waldfriedhof Dahlem - Hüttenweg 47;Hüttenweg 47;14195;Gas;46.051;152.215;104.552;16.909;9.701;8.001;;;;;;
186;Waldfriedhof Zehlendorf - Wasgensteig 30;Wasgensteig 30;14129;Gas;233.294;222.093;323.614;61.214;59.131;54.881;;;;;;
Gesamtsumme;;;;;72.540.409;71.718.924;67.878.598;13.366.028;13.108.900;13.367.127;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
