;Bezirk Mitte: Energieverbrauchsübersicht bezirklicher Liegenschaften 2017;;;;;;;
;;;;;;;;
;lfd. Nr.;Liegenschaft;Adresse Straße;Adresse PLZ;Wärmeversorgung;Wärmeverbrauch witterungsbereinigt;Stromverbrauch;Bemerkungen
;;;;;;kWh;kWh;
Bildung;46;Max-Planck-Gymnasium;Singerstr. 8 a;10179;Fernwärme;836.205;96.532;
Bildung;47;Theodor-Heuss-Gemeinschaftsschule (Mittel-/Oberstufe);Stephanstr. 2-3;10559;Gas;1.077.143;235.738;
Bildung;48;Hedwig-Dohm-Schule;Stephanstr. 27;10559;Fernwärme;599.150;97.020;
Bildung;49;Ernst-Reuter-Schule;Stralsunder Str. 57;13355;Gas;2.762.751;621.934;Wärme- & Stromseitige Mitversorgung von Nr. 50
Bildung;50;Gustav-Falke-Grundschule;Strelitzer Str. 41-42;13355;Gas;350.340;-;Wärme- & Stromversorgung durch Nr. 49
Bildung;51;Betreuung Hort;Tegeler Str. 13;;Gas;454.997;42.015;
Bildung;52;Brüder-Grimm-Grundschule;Tegeler Str. 14, 16, 18, 19;13353;Fernwärme;1.142.929;139.430;
Bildung;53;Gottfried-Röhl-Grundschule;Ungarnstr. 75;13349;Gas;1.038.440;105.365;Stromseitige Mitversorgung von Nr. 156
Bildung;54;Erika-Mann Grundschule;Utrechter Str. 25-27;13347;Fernwärme;909.332;162.271;
Bildung;55;Carl-Bolle-Grundschule;Waldenserstr. 20-21;10551;Fernwärme;641.139;129.702;
Bildung;56;Theodor-Heuss-Gemeinschaftsschule (Hort);Wiclefstr. 6;10551;Fernwärme;195.337;26.805;
Bildung;57;Grundschule am Brandenburger Tor;Wilhelmstr. 51-52;10117;Fernwärme;709.111;234.252;Wärmeseitige Mitversorgung von Nr. 100
Bildung;58;Carl-Kraemer-Grundschule;Zechliner Str. 4;13359;Gas;902.313;84.430;
Bildung;59;John-Lennon-Gymnasium;Zehdenicker Str. 17;10119;Gas;508.477;125.405;
Bildung;60;Miriam-Makeba-Grundschule;Zinzendorfstr. 15-16;10555;Gas;784.262;112.080;
Bildung;61;Fil. Miriam-Makeba-Grundschule;Zwinglistr. 18-19;10555;Fernwärme;110.849;20.942;
Bildung;62;Wartburg-Schule;Zwinglistr. 37;10555;Fernwärme;363.317;63.328;
;Freizeiteinrichtung;;;;;5.382.625;997.144;
Freizeiteinrichtung;63;Spielplatz Ottopark (ehem. Toilettenhaus);Alt-Moabit 34;10555;Nachtspeicherheizung;-;5.206;
Freizeiteinrichtung;64;Volkshochschule Wedding;Antonstr. 37;13347;Fernwärme;434.055;103.648;
Freizeiteinrichtung;65;Freier Träger;Berlichingenstr. 8;10553;Gas;28.055;6.794;
Freizeiteinrichtung;66;Freier Träger;Biesentaler Str. 7;13359;Gas;41.995;5.281;
Freizeiteinrichtung;67;Fil. Schul-Umwelt-Zentrum Mitte (SUZ) - Birkenstraße;Birkenstr. 35;10551;Nachtspeicherheizung;-;27.640;
Freizeiteinrichtung;68;Wolfgang-Scheunemann-Haus;Bredowstr. 31-32;10551;Fernwärme;174.661;20.533;
Freizeiteinrichtung;69;Jugendverkehrsschule Tiergarten;Bremer Str. 10;10551;-;-;14.217;keine Wärmeversorgung
Freizeiteinrichtung;70;Freier Träger;Buttmannstr. 15;13357;Gas;11.001;588;
Freizeiteinrichtung;71;Freier Träger;Edinburger Str. 55;13349;unbekannt;-;1.170;
Freizeiteinrichtung;72;Freier Träger;Fischerinsel 3;10179;Fernwärme;323.547;68.860;
Freizeiteinrichtung;73;Jugendverkehrsschule Wedding;Gottschedstr. 23;13357;Gas;11.338;1.661;
Freizeiteinrichtung;74;Abenteuerspielplatz Humboldthain;Gustav-Meyer-Allee 4;13355;Gas;62.770;10.552;
Freizeiteinrichtung;75;Freier Träger;Kaiserin-Augusta-Allee 98-100;10553;Gas;19.397;-;
Freizeiteinrichtung;76;Volkshochschule Mitte;Linienstr. 162;10115;Gas;438.203;101.450;
Freizeiteinrichtung;77;Freier Träger;Lützowstr. 28;10785;Fernwärme;-;16.821;Wärmeseitige Mitversorgung von Nr. 105
Freizeiteinrichtung;78;Freier Träger;Luxemburger Str. 25;13353;Gas;46.765;-;Stromversorgung durch Nr. 94
Freizeiteinrichtung;79;Freier Träger;Lynarstr. 14;13353;Fernwärme;85.151;10.258;
Freizeiteinrichtung;80;Freier Träger;Markgrafenstr. 26;10117;unbekannt;-;23.986;
Freizeiteinrichtung;81;Spielplatzbeleuchtung;Ostender Str. 48;13353;-;-;817;
Freizeiteinrichtung;82;"Seniorenfreizeitstätte ""Haus Mettmann""";Otawistr. 46;13351;Gas;53.562;7.750;
Freizeiteinrichtung;83;Freier Träger;Rathenower Str. 17;10559;Fernwärme;103.329;12.490;
Freizeiteinrichtung;84;Freier Träger;Reinickendorfer Str. 55;13347;Gas;1.770;-;Stromversorgung durch Nr. 164
Freizeiteinrichtung;85;Freier Träger;Rostocker Str. 32;10553;Fernwärme;315.059;38.044;Wärmeversorgung Jugendeinrichtung Rostocker Str. 32a/b
Freizeiteinrichtung;86;Freier Träger;Schmidstr. 8;10179;Fernwärme;301.043;313;Wärmeversorgung Jugendeinrichtung Schmidstr. 10
Freizeiteinrichtung;87;"Seniorenfreizeitstätte ""Haus Bottrop"" ";Schönwalder Str. 4;13347;Fernwärme;68.646;8.887;
Freizeiteinrichtung;88;Freizeithaus am Mauerpark;Schwedter Str. 234;10435;Gas;637.481;88.400;
