Bezirk Tempelhof-Schˆneberg: Energieverbrauchs¸bersicht bezirklicher Geb‰ude f¸r 2010-2019;;;;;;;;;;;;;;;;
ID;Liegenschaft;Adresse;PLZ;Bauwerk;"Energieart
(W‰rmeverbrauch ist witterungsbereinigt)";Einheit;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
20;Seniorenclub Am M¸hlenberg;Am M¸hlenberg 12;10825;Seniorenfreizeiteinrichtung;Strom;kWh;6.476;5.485;5.803;5.688;4.183;5.738;5.798;5.414;5.462;5.633
21;"Sportplatz ""An der Dorfkirche""";An der Dorfkirche 9;12277;Umkleidegeb‰ude;W‰rme;kWh;35.500;42.471;42.918;42.286;45.508;54.583;38.116;38.721;56.926;39.317
21;"Sportplatz ""An der Dorfkirche""";An der Dorfkirche 9;12277;Umkleidegeb‰ude;Strom;kWh;40.103;27.212;6.166;23.214;24.071;15.187;27.079;26.360;25.364;21.398
22;"Sportplatz ""An der Dorfkirche""";An der Dorfkirche 9;12277;Umkleidegeb‰ude;W‰rme;kWh;6.586;7.879;7.962;7.844;8.442;10.126;7.071;7.183;10.560;7.294
22;"Sportplatz ""An der Dorfkirche""";An der Dorfkirche 9;12277;Umkleidegeb‰ude;Strom;kWh;7.440;5.048;1.144;4.306;4.465;2.817;5.023;4.890;4.705;3.970
23;"Sportplatz ""An der Dorfkirche""";An der Dorfkirche 9;12277;Kiosk;Strom;kWh;5.383;3.653;828;3.116;3.231;2.039;3.635;3.538;3.405;2.872
24;"Sportplatz ""An der Dorfkirche""";An der Dorfkirche 9;12277;Sportplatz / Sportbetriebsgeb‰ude;W‰rme;kWh;49.376;59.071;59.693;58.813;63.294;75.917;53.014;53.856;79.175;54.684
24;"Sportplatz ""An der Dorfkirche""";An der Dorfkirche 9;12277;Sportplatz / Sportbetriebsgeb‰ude;Strom;kWh;55.778;37.848;8.576;32.287;33.479;21.123;37.663;36.662;35.277;29.761
303;Spielstraﬂe - Beleuchtung;Apostel-Paulus-Straﬂe 12;10825;Gr¸nfl‰che / Beleuchtung;Strom;kWh;227;227;227;227;227;227;227;227;227;227
25;Grundschule Am Barbarossaplatz & Albert-Einstein-VHS;Barbarossaplatz 5;10781;Schulgeb‰ude;W‰rme;kWh;767.160;740.236;699.889;833.584;830.158;793.589;809.480;912.795;960.436;869.436
